model,coupling,field,temperature,runtime_seconds,runtime_ratio_vs_model_1,transient_rmse_vs_model_1,steady_state_bias_vs_model_1,convergence_time,convergence_time_diff_vs_model_1,variance_mismatch_vs_model_1
model_3,0.55,0.4,1.2999999999999998,0.0009945100173354149,23.724028686193655,0.08695974951823217,-0.02289269760194973,3,2,0.0015505312675235306
model_4,0.55,0.4,1.2999999999999998,0.17344263996928933,4137.472820098109,0.1445320816576702,0.3471781854360626,6,5,0.007579059875854044
model_5,0.55,0.4,1.2999999999999998,0.00035304003395140174,8.421767249040238,0.04672829799240733,0.052309735773775845,1,0,3.7319832608615105e-09
model_1,0.55,0.4,2.0,2.6560015976428984e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.55,0.4,2.0,5.0900038331747055e-05,1.9164159530972769,0.04818152879125595,-0.03585743246281045,1,0,0.00026939576186037765
model_3,0.55,0.4,2.0,0.0007232799660414458,27.23191005168557,0.06906320755708209,-0.035880543094616274,2,1,0.001144734343874603
model_4,0.55,0.4,2.0,0.12735990006476644,4795.174075866278,0.08413113933942278,0.16869104216302927,4,3,0.0037601570293964324
model_5,0.55,0.4,2.0,0.0002239099238067865,8.430338445786258,0.012767924405216343,0.014302464710213902,1,0,1.36067403253787e-09
model_1,1.0,-0.4,0.6,3.867992199957371e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,1.0,-0.4,0.6,6.975000724196433e-05,1.8032613210216153,0.18767407816609888,-0.31022688341856086,4,3,0.012049697533258642
model_3,1.0,-0.4,0.6,0.0008765799459069967,22.66240210920429,0.17943494082756997,-0.30998439374459463,4,3,0.008689645919870604
model_4,1.0,-0.4,0.6,0.10876378994435071,2811.8926906199395,0.08215389515672754,-0.07143978244379334,4,3,0.1683889599825878
model_5,1.0,-0.4,0.6,0.0002780200447887182,7.187709551011563,0.05583970948561021,0.06229105931308054,1,0,1.9010530576913776e-08
model_1,1.0,-0.4,1.2999999999999998,2.8210040181875228e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,1.0,-0.4,1.2999999999999998,5.238992162048817e-05,1.8571374334357864,0.04641165546971725,-0.08132334551979553,3,2,0.0025402319106387463
model_3,1.0,-0.4,1.2999999999999998,0.0007373799569904804,26.138919059897063,0.045598728435389924,-0.08096367904817581,3,2,0.003365913026597806
model_4,1.0,-0.4,1.2999999999999998,0.11989454003050923,4250.066262136724,0.16672676835766503,-0.40963763283049703,7,6,0.05088033412343189
model_5,1.0,-0.4,1.2999999999999998,0.00021658996120095254,7.677761527617752,0.04683322295902174,-0.05241697280965951,1,0,8.640598806960317e-09
model_1,1.0,-0.4,2.0,3.9289984852075586e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,1.0,-0.4,2.0,5.61700202524662e-05,1.4296269256387582,0.01599093640227931,0.001243033141370281,1,0,0.0009795151457278545
model_3,1.0,-0.4,2.0,0.000887200003489852,22.58081816091572,0.021519451594124363,0.001286686971359835,1,0,0.0019277945617164572
model_4,1.0,-0.4,2.0,0.1209354799706489,3078.02307447976,0.15164107441377422,-0.32647763075616476,6,5,0.016513473339843595
model_5,1.0,-0.4,2.0,0.00024262005463242527,6.175111941271423,0.012814032507643252,-0.014341540250111251,1,0,3.150345110575538e-09
model_1,1.0,0.0,0.6,3.169002011418342e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,1.0,0.0,0.6,6.324001587927341e-05,1.995581437039519,0.11858441568865172,-0.1841540977405686,3,2,0.0906683564021805
model_3,1.0,0.0,0.6,0.0008363300934433936,26.390961268878446,0.10739638184591609,-0.15631066265131108,2,1,0.10530013817564408
model_4,1.0,0.0,0.6,0.11662408001720906,3680.151656483548,0.13310746085963085,-0.16033129817306283,1,0,0.1967210624690206
model_5,1.0,0.0,0.6,0.00023909006267786026,7.544648498687804,0.019425900126325668,-3.30260541488535e-05,1,0,0.002037452638779752
model_1,1.0,0.0,1.2999999999999998,2.5430042296648028e-05,1.0,0.0,0.0,1,0.0,0.0
