model,coupling,field,temperature,seed,initial_up_count,initial_up_fraction,t,m,runtime_seconds
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,10,-0.5827829453479102,2.1599698811769485e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,0,-0.3333333333333333,4.349974915385246e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,1,-0.4474292946202086,4.349974915385246e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,2,-0.45751098591479317,4.349974915385246e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,3,-0.45839624617821045,4.349974915385246e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,4,-0.45847393635001144,4.349974915385246e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,5,-0.4584807540814571,4.349974915385246e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,6,-0.4584813523715739,4.349974915385246e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,7,-0.45848140487451144,4.349974915385246e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,8,-0.45848140948190563,4.349974915385246e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,9,-0.4584814098862274,4.349974915385246e-05
model_2,0.1,-0.4,0.6,3,2,0.3333333333333333,10,-0.45848140992170866,4.349974915385246e-05
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,0,-0.3333333333333333,0.0006385003216564655
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,1,-0.42493573472402685,0.0006385003216564655
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,2,-0.44948364775273203,0.0006385003216564655
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,3,-0.4560583117525123,0.0006385003216564655
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,4,-0.4578256208824099,0.0006385003216564655
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,5,-0.458302973511276,0.0006385003216564655
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,6,-0.4584325869140045,0.0006385003216564655
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,7,-0.4584679746658426,0.0006385003216564655
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,8,-0.45847769135077493,0.0006385003216564655
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,9,-0.45848037474728537,0.0006385003216564655
model_3,0.1,-0.4,0.6,3,2,0.3333333333333333,10,-0.458481120102787,0.0006385003216564655
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,0,-0.3333333333333333,0.11090559978038073
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,1,-0.6118053389441426,0.11090559978038073
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,2,-0.6931073593898801,0.11090559978038073
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,3,-0.7178443139103997,0.11090559978038073
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,4,-0.7255286889713491,0.11090559978038073
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,5,-0.7279504201960122,0.11090559978038073
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,6,-0.7287214845518383,0.11090559978038073
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,7,-0.7289687616966177,0.11090559978038073
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,8,-0.7290484605818027,0.11090559978038073
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,9,-0.7290742367465555,0.11090559978038073
model_4,0.1,-0.4,0.6,3,2,0.3333333333333333,10,-0.7290825929464207,0.11090559978038073
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,0,-0.3333333333333333,0.000219699926674366
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,1,-0.5198806282568907,0.000219699926674366
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,2,-0.5198936799574746,0.000219699926674366
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,3,-0.5198936827701387,0.000219699926674366
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,4,-0.5198936827706093,0.000219699926674366
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,5,-0.5198936827706093,0.000219699926674366
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,6,-0.5198936827706093,0.000219699926674366
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,7,-0.5198936827706093,0.000219699926674366
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,8,-0.5198936827706093,0.000219699926674366
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,9,-0.5198936827706093,0.000219699926674366
model_5,0.1,-0.4,0.6,3,2,0.3333333333333333,10,-0.5198936827706093,0.000219699926674366
model_1,0.1,-0.4,0.6,4,3,0.5,0,0.0,2.240017056465149e-05
model_1,0.1,-0.4,0.6,4,3,0.5,1,-0.5827829453479102,2.240017056465149e-05
model_1,0.1,-0.4,0.6,4,3,0.5,2,-0.5827829453479102,2.240017056465149e-05
model_1,0.1,-0.4,0.6,4,3,0.5,3,-0.5827829453479102,2.240017056465149e-05
model_1,0.1,-0.4,0.6,4,3,0.5,4,-0.5827829453479102,2.240017056465149e-05
model_1,0.1,-0.4,0.6,4,3,0.5,5,-0.5827829453479102,2.240017056465149e-05
model_1,0.1,-0.4,0.6,4,3,0.5,6,-0.5827829453479102,2.240017056465149e-05
model_1,0.1,-0.4,0.6,4,3,0.5,7,-0.5827829453479102,2.240017056465149e-05
model_1,0.1,-0.4,0.6,4,3,0.5,8,-0.5827829453479102,2.240017056465149e-05
model_1,0.1,-0.4,0.6,4,3,0.5,9,-0.5827829453479102,2.240017056465149e-05
model_1,0.1,-0.4,0.6,4,3,0.5,10,-0.5827829453479102,2.240017056465149e-05
model_2,0.1,-0.4,0.6,4,3,0.5,0,0.0,4.3800100684165955e-05
model_2,0.1,-0.4,0.6,4,3,0.5,1,-0.4173216500588712,4.3800100684165955e-05
model_2,0.1,-0.4,0.6,4,3,0.5,2,-0.45486187200136213,4.3800100684165955e-05
model_2,0.1,-0.4,0.6,4,3,0.5,3,-0.45816371889511726,4.3800100684165955e-05
model_2,0.1,-0.4,0.6,4,3,0.5,4,-0.458453530504771,4.3800100684165955e-05
model_2,0.1,-0.4,0.6,4,3,0.5,5,-0.4584789633637439,4.3800100684165955e-05
model_2,0.1,-0.4,0.6,4,3,0.5,6,-0.4584811952271566,4.3800100684165955e-05
model_2,0.1,-0.4,0.6,4,3,0.5,7,-0.45848139108430647,4.3800100684165955e-05
